FID,AREA,APN,APN2,LUC,FID_riverb,Acres,id,planning_u,number
0,1214640.972,038-701-004,038701004,WH,-1,27.88430023,9,9,100
1,156960.4347,038-701-008,038701008,WH,-1,3.603319883,10,10,100
2,11941.45224,038-701-010,038701010,WH,-1,0.274138004,11,11,100
3,274415.0273,038-701-012,038701012,WH,-1,6.299699783,12,12,100
4,1142367.181,038-701-016,038701016,WH,-1,26.22509956,13,13,100
5,861280.4765,038-711-011,038711011,OS,-1,19.77230072,15,15,100
6,2688783.818,066-381-003,066381003,OS,-1,61.72600174,20,20,100
7,9972931.083,066-401-001,066401001,City,-1,228.9470062,21,21,100
8,4102911.819,066-401-011,066401011,REC,-1,94.18990326,22,22,100
9,4055556.67,066-401-016,066401016,REC,-1,93.10279846,23,23,100
10,1075928.871,066-401-017,066401017,REC,-1,24.69989967,24,24,100
11,18512263.29,067-011-043,067011043,OS,-1,424.9830017,37,37,100
12,139452.8811,067-011-044,067011044,OS,-1,3.201400042,38,38,100
13,1008474.004,067-011-058,067011058,PF,-1,23.15139961,44,44,100
14,1449287.078,067-031-008,067031008,PF,-1,33.27109909,53,53,100
15,10326553.07,067-051-006,067051006,PF,-1,237.0650024,71,71,100
16,543352.2422,067-051-007,067051007,AG,-1,12.47369957,72,72,100
17,861602.1665,067-051-018,067051018,AG,-1,19.77969933,75,75,100
18,1743237.215,067-051-020,067051020,AG,-1,40.01919937,77,77,100
19,535157.6271,067-070-006,067070006,AG,-1,12.28549957,84,84,100
20,743004.9942,070-011-011,070011011,REC,-1,17.05699921,151,151,100
21,15765033.29,070-031-007,070031007,AG,-1,361.9150085,153,153,100
22,4727164.411,070-031-008,070031008,OS,-1,108.5210037,154,154,100
23,917113.9023,070-031-009,070031009,OS,-1,21.05400085,155,155,100
24,17949452.38,070-031-010,070031010,AG,-1,412.0629883,156,156,100
25,2089723.305,070-031-011,070031011,AG,-1,47.97340012,157,157,100
26,21146393.67,070-051-011,070051011,AG,-1,485.45401,161,161,100
27,2852514.224,070-051-012,070051012,OS,-1,65.48470306,162,162,100
28,12885845.67,070-051-013,070051013,PF,-1,295.8179932,163,163,100
29,21134929.69,070-051-014,070051014,REC,-1,485.1910095,164,164,100
30,17605791.57,070-051-015,070051015,AG,-1,404.1730042,165,165,100
31,14258311.22,070-051-016,070051016,AG,-1,327.3259888,166,166,100
32,19920810.93,070-061-013,070061013,AG,-1,457.3190002,175,175,100
33,1647122.968,070-061-018,070061018,AG,-1,37.81269836,176,176,100
34,2109082.141,070-061-020,070061020,AG,-1,48.41790009,177,177,100
35,13114759.61,070-061-021,070061021,AG,-1,301.072998,178,178,100
36,2957159.119,073-021-007,073021007,OS,-1,67.88700104,179,179,100
37,7702315.181,073-021-008,073021008,OS,-1,176.8209991,180,180,100
38,9038850.345,073-041-005,073041005,OS,-1,207.503006,189,189,100
39,9730922.404,073-041-024,073041024,AG,-1,223.3910065,192,192,100
40,9625860.918,073-041-025,073041025,AG,-1,220.9790039,193,193,100
41,17244702.86,073-121-022,073121022,AG,-1,395.8840027,206,206,100
42,6511055.643,073-121-023,073121023,AG,-1,149.4730072,207,207,100
43,5932059.022,073-121-024,073121024,AG,-1,136.1809998,208,208,100
44,1631249.487,073-121-027,073121027,AG,-1,37.44829941,210,210,100
45,17420519.08,073-151-004,073151004,AG,-1,399.9200134,231,231,100
46,1650166.524,073-171-006,073171006,OS,-1,37.88259888,232,232,100
47,806732.8356,073-171-009,073171009,OS,-1,18.52000046,233,233,100
48,5007924.189,073-171-024,073171024,AG,-1,114.9660034,240,240,100
49,4340220.985,073-171-032,073171032,OS,-1,99.63780212,242,242,100
50,13930556.65,073-171-033,073171033,OS,-1,319.802002,243,243,100
51,13024454.71,073-201-004,073201004,AG,-1,299,283,283,100
52,9934876.405,073-201-005,073201005,AG,-1,228.072998,284,284,100
53,8895993.191,073-201-006,073201006,AG,-1,204.223999,285,285,100
54,11495840.38,073-201-007,073201007,AG,-1,263.9079895,286,286,100
55,14946615.66,073-211-002,073211002,AG,-1,343.1270142,287,287,100
56,20353964.94,073-211-003,073211003,PF,-1,467.2630005,288,288,100
57,764681.2219,073-211-004,073211004,AG,-1,17.55470085,289,289,100
58,3567529.48,073-211-008,073211008,AG,-1,81.89920044,290,290,100
59,13876914.73,073-211-009,073211009,AG,-1,318.5700073,291,291,100
60,11009827.99,073-211-010,073211010,PF,-1,252.7510071,292,292,100
61,1268074.514,073-211-011,073211011,AG,-1,29.11100006,293,293,100
62,4906248.926,073-211-012,073211012,AG,-1,112.6320038,294,294,100
63,411402.9169,073-221-005,073221005,REC,-1,9.44451046,296,296,100
64,5300106.486,073-221-007,073221007,PF,-1,121.6740036,297,297,100
65,471975.1576,073-221-009,073221009,PF,-1,10.83510017,298,298,100
66,22703592.59,073-221-020,073221020,REC,-1,521.2030029,301,301,100
67,5899589.043,073-221-021,073221021,REC,-1,135.4360046,302,302,100
68,18504771.48,073-221-027,073221027,AG,-1,424.8110046,304,304,100
69,1991396.562,073-221-028,073221028,PF,-1,45.71620178,305,305,100
70,20226470.88,073-231-003,073231003,REC,-1,464.3359985,307,307,100
71,29665388.82,073-231-004,073231004,PF,-1,681.0239868,308,308,100
72,12185102.14,073-231-005,073231005,REC,-1,279.7309875,309,309,100
73,18777725.2,073-231-006,073231006,PF,-1,431.0769958,310,310,100
74,8717794.821,073-241-001,073241001,AG,-1,200.1329956,311,311,100
75,10309800.36,073-251-001,073251001,PF,-1,236.6799927,312,312,100
76,1002305.826,073-251-004,073251004,PF,-1,23.00979996,314,314,100
77,74621.76329,073-251-005,073251005,PF,-1,1.713080049,315,315,100
78,9243564.031,073-261-006,073261006,AG,-1,212.2030029,317,317,100
79,17023906.82,073-321-001,073321001,AG,-1,390.8150024,319,319,100
80,898001.586,073-321-002,073321002,AG,-1,20.61529922,320,320,100
81,6633477.269,073-321-013,073321013,AG,-1,152.2839966,321,321,100
82,690287.6732,073-321-014,073321014,REC,-1,15.84679985,322,322,100
83,843024.9276,073-331-010,073331010,AG,-1,19.35320091,325,325,100
84,10033924.87,073-331-026,073331026,PF,-1,230.3470001,326,326,0
85,13426796.12,073-331-032,073331032,AG,-1,308.2369995,332,332,100
86,1744773.186,073-331-033,073331033,PF,-1,40.05450058,333,333,100
87,897072.4645,073-333-017,073333017,RR,-1,20.59399986,337,337,100
88,25809476.14,074-011-010,074011010,REC,-1,592.5040283,339,339,100
89,2023487.704,074-011-011,074011011,REC,-1,46.45289993,340,340,100
90,1848434.919,074-011-012,074011012,REC,-1,42.43420029,341,341,100
91,726545.0731,074-011-014,074011014,REC,-1,16.67919922,343,343,100
92,3752379.645,074-012-015,074012015,REC,-1,86.14279938,344,344,100
93,4047860.996,074-023-004,074023004,AG,-1,92.92610168,350,350,100
94,92195.75622,074-025-013,074025013,PF,-1,2.116519928,356,356,100
