FID,AREA,APN,APN2,LUC,FID_riverb,Acres,id,planning_u,number
0,348139.4824,038-221-001,038221001,PF,-1,7.992179871,1,1,0
1,11407.87855,038-262-001,038262001,OS,-1,0.261889011,2,2,0
2,6587.966127,038-262-004,038262004,OS,-1,0.151238993,3,3,0
3,9786.540172,038-262-005,038262005,OS,-1,0.224667996,4,4,0
4,2255.416534,038-262-007,038262007,OS,-1,0.051777199,5,5,58
5,2035.066667,038-262-008,038262008,OS,-1,0.046718702,6,6,100
6,50362.55741,038-341-001,038341001,OS,-1,1.156170011,7,7,0
7,14648.69141,038-421-015,038421015,OS,-1,0.336288005,8,8,0
8,267250.4935,038-711-004,038711004,RS,-1,6.135230064,14,14,0
9,502375.1155,038-711-015,038711015,RS,-1,11.53289986,16,16,0
10,190260.3015,038-721-005,038721005,PF,-1,4.367780209,17,17,0
11,1177299.541,038-721-022,038721022,PF,-1,27.02709961,18,18,0
12,560172.9064,052-601-011,052601011,AG,-1,12.85980034,19,19,0
13,421770.0826,066-411-001,066411001,City,-1,9.682510376,25,25,100
14,13654332.7,067-011-003,067011003,AG,-1,313.4599915,26,26,100
15,493356.6438,067-011-004,067011004,RR,-1,11.32590008,27,27,0
16,489475.0421,067-011-018,067011018,AG,-1,11.23680019,28,28,0
17,2340525.693,067-011-019,067011019,AG,-1,53.73109818,29,29,2
18,1870796.267,067-011-020,067011020,AG,-1,42.94760132,30,30,4
19,2272564.553,067-011-021,067011021,RS,-1,52.17089844,31,31,0
20,41342.10513,067-011-026,067011026,RS,-1,0.949083984,32,32,40
21,2744760.779,067-011-035,067011035,RR,-1,63.01100159,33,33,0
22,57409.88164,067-011-036,067011036,OS,-1,1.31795001,34,34,0
23,1393957.642,067-011-041,067011041,RR,-1,32.00090027,35,35,0
24,50646.48492,067-011-042,067011042,RR,-1,1.16268003,36,36,0
25,3809126.638,067-011-047,067011047,AG,-1,87.44550323,39,39,100
26,1264571.759,067-011-048,067011048,RR,-1,29.03059959,40,40,8
27,2670451.982,067-011-049,067011049,RR,-1,61.30509949,41,41,0
28,202756.9187,067-011-050,067011050,RR,-1,4.654660225,42,42,0
29,648323.3683,067-011-057,067011057,PF,-1,14.8835001,43,43,0
30,780706.7323,067-012-011,067012011,RR,-1,17.92259979,45,45,0
31,396645.7402,067-012-018,067012018,RR,-1,9.105730057,46,46,0
32,18470949.91,067-021-001,067021001,AG,-1,424.0350037,47,47,0
33,23560230.26,067-021-002,067021002,AG,-1,540.867981,48,48,1
34,13702408.88,067-021-003,067021003,AG,-1,314.5639954,49,49,0
35,7903683.698,067-021-004,067021004,AG,-1,181.4440002,50,50,0
36,16145770.1,067-021-005,067021005,AG,-1,370.6560059,51,51,0
37,27813401.26,067-031-001,067031001,AG,-1,638.5079956,52,52,0
38,430411.3408,067-031-011,067031011,AG,-1,9.880889893,54,54,100
39,693341.0414,067-031-017,067031017,AG,-1,15.91689968,55,55,0
40,12011207.42,067-031-021,067031021,AG,-1,275.7390137,56,56,0
41,17912860.15,067-031-022,067031022,AG,-1,411.2229919,57,57,0
42,5152732.947,067-031-024,067031024,AG,-1,118.2900009,58,58,0
43,64515.8366,067-031-026,067031026,AG,-1,1.481080055,59,59,0
44,125070.6474,067-031-028,067031028,AG,-1,2.871229887,60,60,0
45,186879.2493,067-031-030,067031030,AG,-1,4.290160179,61,61,0
46,1465852.194,067-031-032,067031032,AG,-1,33.65129852,62,62,0
47,1051719.052,067-031-036,067031036,AG,-1,24.14410019,63,63,0
48,1669744.955,067-031-037,067031037,AG,-1,38.33209991,64,64,1
49,1895714.667,067-031-038,067031038,AG,-1,43.51959991,65,65,0
50,8383146.18,067-041-003,067041003,AG,-1,192.451004,66,66,0
51,6656336.6,067-051-001,067051001,AG,-1,152.8079987,67,67,0
52,3666795.895,067-051-002,067051002,AG,-1,84.1780014,68,68,0
53,19986523.37,067-051-004,067051004,AG,-1,458.8269958,69,69,0
54,10811250.69,067-051-005,067051005,AG,-1,248.1920013,70,70,0
55,1651439.269,067-051-016,067051016,AG,-1,37.91180038,73,73,0
56,1247348.216,067-051-017,067051017,AG,-1,28.6352005,74,74,0
57,1744867.271,067-051-019,067051019,AG,-1,40.05659866,76,76,0
58,1747225.699,067-051-021,067051021,AG,-1,40.1108017,78,78,0
59,6008155.155,067-051-022,067051022,AG,-1,137.9279938,79,79,0
60,5784717.041,067-061-049,067061049,AG,-1,132.798996,80,80,0
61,1751504.296,067-061-051,067061051,AG,-1,40.20899963,81,81,0
62,7447991.505,067-061-055,067061055,AG,-1,170.9819946,82,82,0
63,2628462.047,067-061-056,067061056,AG,-1,60.34120178,83,83,0
64,21262124.61,067-131-002,067131002,AG,-1,488.1109924,85,85,0
65,15768746.89,067-131-005,067131005,AG,-1,362.0010071,86,86,6
66,1407753.994,067-131-006,067131006,RS,-1,32.31760025,87,87,0
67,411337.9796,067-131-007,067131007,AG,-1,9.443019867,88,88,100
68,294623.491,067-131-013,067131013,AG,-1,6.7636199,89,89,66
69,189419.6634,067-131-014,067131014,AG,-1,4.348480225,90,90,98
70,76158.56227,067-131-015,067131015,AG,-1,1.748360038,91,91,2
71,1031708.354,067-132-014,067132014,AG,-1,23.68479919,92,92,36
72,1111462.831,067-132-015,067132015,AG,-1,25.51569939,93,93,0
73,7588753.321,067-132-016,067132016,AG,-1,174.2140045,94,94,0
74,439076.3687,067-132-020,067132020,AG,-1,10.07979965,95,95,0
75,440512.0887,067-132-021,067132021,AG,-1,10.11279964,96,96,4
76,439917.3506,067-132-022,067132022,AG,-1,10.09910011,97,97,0
77,334196.8314,067-132-023,067132023,AG,-1,7.672100067,98,98,48
78,406431.8191,067-132-024,067132024,AG,-1,9.330389977,99,99,0
79,406385.8929,067-132-025,067132025,AG,-1,9.329339981,100,100,0
80,468581.8652,067-132-026,067132026,AG,-1,10.75720024,101,101,0
81,425194.4882,067-132-027,067132027,AG,-1,9.761119843,102,102,0
82,1443151.572,067-132-036,067132036,AG,-1,33.13019943,103,103,0
83,991798.5242,067-132-037,067132037,AG,-1,22.76860046,104,104,29
84,3449335.966,067-151-001,067151001,AG,-1,79.18589783,105,105,88
85,623795.3624,067-151-003,067151003,AG,-1,14.32040024,106,106,62
86,7253484.751,067-151-006,067151006,AG,-1,166.5169983,107,107,0
87,6526904.205,067-151-007,067151007,AG,-1,149.8370056,108,108,0
88,18310603.21,067-161-003,067161003,AG,-1,420.3540039,109,109,0
89,1930928.308,067-161-005,067161005,AG,-1,44.32799911,110,110,16
90,2407231.621,067-161-007,067161007,AG,-1,55.26240158,111,111,0
91,2464118.769,067-161-008,067161008,AG,-1,56.56840134,112,112,0
92,3472884.469,067-161-010,067161010,AG,-1,79.72650146,113,113,0
93,2513144.559,067-161-011,067161011,AG,-1,57.69390106,114,114,90
